Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_0,92.59986902423051,0.926253452190098,0.9297900334680042,0.9071986123156982,0.8644628099173554,0.9379474940334129,0.9562043795620438,0.9926470588235294,0.9854014598540146,0.9178255372945638,0.9705882352941176
model_1,92.8618205631958,0.9281273719350093,0.932143126753784,0.9094449853943525,0.9749478079331941,0.9481981981981982,0.913232104121475,0.988929889298893,0.9852941176470589,0.9124423963133641,0.8780487804878049
model_2,94.17157825802227,0.941603925434305,0.9430290017688469,0.9254013220018886,0.958904109589041,0.9534883720930233,0.9468822170900693,0.9962825278810409,1.0,0.9330254041570438,0.8997772828507795
model_3,94.04060248853962,0.9401956116146515,0.9421627886843119,0.9163498098859315,0.9563492063492064,0.9673659673659674,0.962877030162413,0.996309963099631,0.9926470588235294,0.9255441008018328,0.8859649122807017
model_4,94.95743287491814,0.9494939745424954,0.9495110104426808,0.9319852941176471,0.9388888888888889,0.966396292004635,0.9564220183486238,0.9962825278810409,1.0,0.9400479616306955,0.9400479616306955
model_5,94.76096922069416,0.9474518133375384,0.94781133445074,0.9301025163094129,0.9504761904761905,0.9596309111880046,0.9454545454545454,0.9888475836431226,0.9925373134328358,0.9443786982248521,0.9322429906542056
model_6,95.15389652914212,0.9511881625804061,0.9528082932684526,0.9324452901998097,0.974155069582505,0.9535673839184597,0.9232456140350878,0.996309963099631,0.9926470588235294,0.9587750294464076,0.9421296296296297
model_7,95.61231172233137,0.9560656837070443,0.95643988697497,0.9464944649446494,0.957089552238806,0.9620853080568721,0.973621103117506,0.9675090252707581,0.9436619718309859,0.9587750294464076,0.9421296296296297
model_8,95.67779960707269,0.9566282821807335,0.9568777903079322,0.9426987060998152,0.9550561797752809,0.9667812142038946,0.9461883408071748,0.996309963099631,0.9926470588235294,0.9516908212560387,0.9586374695863747
model_9,95.93975114603799,0.9593461768936413,0.9593675093357815,0.9475620975160993,0.9554730983302412,0.9627039627039627,0.9582366589327146,0.996309963099631,0.9926470588235294,0.9594272076372315,0.9548693586698337
model_10,95.93975114603799,0.9592845857425163,0.9595120349119578,0.9454209065679926,0.9587242026266416,0.9690011481056258,0.9504504504504504,0.9888475836431226,0.9925373134328358,0.957983193277311,0.9591346153846154
model_11,96.13621480026195,0.9611998223776957,0.9619549444610116,0.9456928838951311,0.9711538461538461,0.969626168224299,0.9673659673659674,0.996309963099631,0.9926470588235294,0.9615832363213038,0.9343891402714932
model_12,95.54682383759004,0.9552233766170127,0.9567940137581615,0.9366130558183539,0.9724950884086444,0.9672897196261683,0.965034965034965,0.996309963099631,0.9926470588235294,0.9540229885057471,0.9161147902869757
model_13,96.00523903077931,0.960042619128962,0.9601314886769362,0.9461187214611873,0.946983546617916,0.9645390070921985,0.9737470167064439,0.996309963099631,0.9926470588235294,0.9619952494061758,0.9529411764705882
model_14,95.87426326129666,0.9586565657197691,0.9592013433203989,0.9459962756052142,0.9657794676806084,0.9648711943793911,0.9648711943793911,0.9925925925925926,0.9925925925925926,0.9579439252336449,0.9339407744874715
model_15,94.95743287491814,0.9491890077839638,0.952165268859128,0.926923076923077,0.9796747967479674,0.9699074074074074,0.9588100686498856,0.996309963099631,0.9926470588235294,0.9419795221843004,0.8961038961038961
model_16,96.85658153241651,0.9685980609168966,0.9688027119252586,0.9584086799276673,0.9498207885304659,0.9707602339181286,0.969626168224299,0.996309963099631,0.9926470588235294,0.9708029197080292,0.9851851851851852
model_17,95.61231172233137,0.9559251681699418,0.957084500649658,0.9417293233082706,0.9709302325581395,0.9605411499436303,0.9260869565217391,0.9925925925925926,0.9925925925925926,0.957983193277311,0.9591346153846154
model_18,95.54682383759004,0.9552316431979783,0.9567660710072107,0.9366130558183539,0.9724950884086444,0.9684947491248541,0.9651162790697675,0.996309963099631,0.9926470588235294,0.952819332566168,0.915929203539823
model_19,96.46365422396856,0.9645692886815828,0.9650104924859932,0.9508804448563485,0.9661016949152542,0.9729093050647821,0.9786729857819905,0.996309963099631,0.9926470588235294,0.9637426900584796,0.9406392694063926
model_20,93.25474787164374,0.932703276101349,0.9376070403701215,0.9140893470790378,0.8636363636363636,0.9570405727923628,0.975669099756691,0.996309963099631,0.9926470588235294,0.911651728553137,0.978021978021978
model_21,95.48133595284872,0.9547515628062861,0.9553762409341204,0.9382488479262673,0.9478584729981379,0.9606674612634089,0.9781553398058253,0.996309963099631,0.9926470588235294,0.9569266589057043,0.9298642533936652
model_22,96.72560576293385,0.9671989203098975,0.9673869396253884,0.9565217391304348,0.9699812382739212,0.9731621936989499,0.9697674418604652,0.9925925925925926,0.9925925925925926,0.966903073286052,0.9533799533799534
model_23,96.98755730189916,0.9698097217287813,0.9702970427552039,0.958139534883721,0.9772296015180265,0.9777777777777777,0.9766355140186916,1.0,1.0,0.9672131147540983,0.9450800915331807
model_24,96.85658153241651,0.9685392695045524,0.9685280799314875,0.9578754578754579,0.9613970588235294,0.9742990654205608,0.972027972027972,0.996309963099631,0.9926470588235294,0.9676646706586827,0.9665071770334929
model_25,96.2671905697446,0.9625264372253459,0.9636316909101404,0.9491525423728814,0.980544747081712,0.9732868757259001,0.9654377880184332,0.9925925925925926,0.9925925925925926,0.959349593495935,0.9301801801801802
model_26,95.74328749181402,0.957343815537051,0.9583899227192292,0.9464788732394366,0.9748549323017408,0.9665513264129181,0.9522727272727273,0.9811320754716981,1.0,0.9544924154025671,0.9295454545454546
model_27,96.66011787819254,0.9664727536294283,0.9672941195028544,0.9530956848030019,0.9806949806949807,0.9790697674418605,0.9722863741339491,0.996309963099631,0.9926470588235294,0.9614935822637106,0.9363636363636364
model_28,96.5946299934512,0.9659203295042309,0.9660704133196791,0.9540441176470589,0.9611111111111111,0.9694117647058823,0.9739952718676123,0.9962825278810409,1.0,0.9681227863046045,0.9534883720930233
model_29,96.07072691552064,0.9606859418327007,0.960943497690755,0.9463955637707948,0.9588014981273408,0.9742388758782201,0.9742388758782201,0.9962825278810409,1.0,0.9540636042402827,0.9375
