Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_0,92.99279633267845,0.9297162462287905,0.9298464258271807,0.9124423963133641,0.9217877094972067,0.944954128440367,0.9258426966292135,0.996309963099631,0.9926470588235294,0.9152542372881356,0.9242053789731052
model_1,93.05828421741977,0.9305720313777658,0.9316569194689822,0.9105990783410138,0.9199255121042831,0.9399038461538461,0.9654320987654321,0.9926470588235294,0.9854014598540146,0.9271676300578034,0.8950892857142857
model_2,94.36804191224624,0.9435845183127345,0.9435636271218972,0.9283088235294118,0.9351851851851852,0.959254947613504,0.9537037037037037,0.9743589743589743,0.9637681159420289,0.9376498800959233,0.9376498800959233
model_3,94.89194499017681,0.9487923146380317,0.9492810220592003,0.9355742296918768,0.9579349904397706,0.9620253164556962,0.9457013574660633,0.9888475836431226,0.9925373134328358,0.9396449704142011,0.927570093457944
model_4,95.80877537655533,0.9579814319367753,0.9582766409545926,0.9433611884865367,0.9603024574669187,0.9649532710280374,0.9627039627039627,0.996309963099631,0.9926470588235294,0.9576470588235294,0.9399538106235565
model_5,95.67779960707269,0.9565648072268098,0.9577187277879895,0.939622641509434,0.97265625,0.9686411149825784,0.9608294930875576,0.996309963099631,0.9926470588235294,0.9535962877030162,0.9235955056179775
model_6,94.36804191224624,0.9436091849855558,0.9442396219453956,0.9283720930232559,0.9468690702087287,0.9505882352941176,0.9550827423167849,0.9925925925925926,0.9925925925925926,0.940628637951106,0.9140271493212669
model_7,94.43352979698756,0.944368750300658,0.9451693689372955,0.9305680793507665,0.9197860962566845,0.9480048367593712,0.98,0.9854014598540146,0.9712230215827338,0.9454976303317536,0.9344262295081968
model_8,95.4158480681074,0.9542165763584051,0.9544647490564875,0.9421338155515371,0.9336917562724014,0.9583828775267539,0.9734299516908212,0.9925925925925926,0.9925925925925926,0.953405017921147,0.95
model_9,94.17157825802227,0.9417791919392209,0.9420464430498101,0.9234972677595629,0.9218181818181819,0.9536266349583828,0.9685990338164251,0.996309963099631,0.9926470588235294,0.9360189573459715,0.9250585480093677
model_10,96.39816633922725,0.9639775188030985,0.9644046669656017,0.9532374100719424,0.9397163120567376,0.9742990654205608,0.972027972027972,0.996309963099631,0.9926470588235294,0.9570552147239264,0.9798994974874372
model_11,94.2370661427636,0.9420105506645351,0.9463121865979053,0.9166666666666666,0.9772727272727273,0.9709639953542393,0.9631336405529954,0.9925925925925926,0.9925925925925926,0.9292929292929293,0.8734177215189873
model_12,96.85658153241651,0.9685878670533832,0.9688308242619729,0.9594229035166817,0.948306595365419,0.9667458432304038,0.980722891566265,0.9926470588235294,0.9854014598540146,0.9747292418772563,0.9782608695652174
model_13,94.62999345121152,0.9463587304275874,0.9473432701665936,0.928377153218495,0.9225225225225225,0.9515738498789347,0.9849624060150376,0.996309963099631,0.9926470588235294,0.9484777517564403,0.9267734553775744
model_14,96.52914210870989,0.9652595036530777,0.9654389202667257,0.9523809523809523,0.9558823529411765,0.9688581314878892,0.9545454545454546,0.996309963099631,0.9926470588235294,0.9684466019417476,0.9803439803439803
model_15,95.74328749181402,0.9574116888050469,0.957405744323073,0.9487179487179487,0.9522058823529411,0.9637426900584796,0.9626168224299065,0.996309963099631,0.9926470588235294,0.9497607655502392,0.9474940334128878
model_16,95.4158480681074,0.9539925521485799,0.9560428521874552,0.9502347417840376,0.9787234042553191,0.9747126436781609,0.9571106094808126,0.932806324110672,1.0,0.9445727482678984,0.910913140311804
model_17,94.5645055664702,0.9458601700648291,0.9484761374644263,0.9300699300699301,0.8926174496644296,0.9424724602203183,0.9871794871794872,0.9926470588235294,0.9854014598540146,0.9549330085261876,0.9702970297029703
model_18,97.05304518664047,0.9704541833725412,0.970769047884194,0.958217270194986,0.9754253308128544,0.9790209790209791,0.974477958236659,1.0,1.0,0.9681978798586572,0.9513888888888888
model_19,95.74328749181402,0.9574039419605387,0.9578912030500615,0.9424860853432282,0.9584905660377359,0.971764705882353,0.9763593380614657,0.996309963099631,0.9926470588235294,0.9497076023391813,0.9269406392694064
model_20,96.20170268500328,0.962100667445379,0.9640147694069019,0.9507042253521126,0.9183673469387755,0.9728453364817001,0.9809523809523809,0.996309963099631,0.9926470588235294,0.955,0.9973890339425587
model_21,96.46365422396856,0.9644741318351718,0.9651158992917178,0.950328022492971,0.976878612716763,0.9780346820809248,0.9657534246575342,0.996309963099631,0.9926470588235294,0.9588719153936546,0.9400921658986175
model_22,97.11853307138179,0.9711747185718119,0.9712705424063462,0.9627611262488647,0.9584086799276673,0.9766899766899767,0.9721577726218097,0.996309963099631,0.9926470588235294,0.9684466019417476,0.9803439803439803
model_23,96.39816633922725,0.964035479369095,0.9641737383990805,0.9510869565217391,0.9442446043165468,0.9716312056737588,0.9809069212410502,1.0,1.0,0.9616306954436451,0.9616306954436451
model_24,96.72560576293385,0.9671473707675314,0.967790219453158,0.9553903345724907,0.9734848484848485,0.9704545454545455,0.9426048565121413,0.996309963099631,0.9926470588235294,0.969770253929867,0.9780487804878049
model_25,96.79109364767517,0.9679056181163125,0.9679147626004208,0.9579524680073126,0.9597069597069597,0.9765258215962441,0.9788235294117648,0.996309963099631,0.9926470588235294,0.9629629629629629,0.9595238095238096
model_26,96.79109364767517,0.9678694085605627,0.9678888725255156,0.9577205882352942,0.9648148148148148,0.9708963911525029,0.9652777777777778,0.996309963099631,0.9926470588235294,0.9688995215311005,0.9665871121718377
model_27,96.72560576293385,0.9672807880676805,0.9673522997962711,0.9590536851683349,0.956442831215971,0.9716981132075472,0.9786223277909739,0.9888475836431226,0.9925373134328358,0.9665871121718377,0.9619952494061758
model_28,97.77341191879503,0.9777080843635395,0.977868299115463,0.9707495429616088,0.9725274725274725,0.9815242494226328,0.9681093394077449,1.0,1.0,0.9757281553398058,0.9877149877149877
model_29,96.5946299934512,0.9658588404493661,0.9663010839742308,0.9543336439888164,0.9752380952380952,0.9767441860465116,0.9699769053117783,0.996309963099631,0.9926470588235294,0.96,0.9422632794457275
model_30,97.38048461034708,0.9737993263170285,0.9738422124782091,0.9653284671532847,0.9653284671532847,0.9790697674418605,0.9722863741339491,0.9962825278810409,1.0,0.9722557297949337,0.9781553398058253
model_31,97.05304518664047,0.9705192890170282,0.9705226436955315,0.9597806215722121,0.9615384615384616,0.9765258215962441,0.9788235294117648,0.996309963099631,0.9926470588235294,0.970131421744325,0.9666666666666667
model_32,96.66011787819254,0.9665926928498655,0.9668269574119157,0.957388939256573,0.9513513513513514,0.9709639953542393,0.9631336405529954,0.996309963099631,0.9926470588235294,0.9645909645909646,0.9825870646766169
model_33,97.11853307138179,0.97120694291161,0.9717626223963624,0.963294538943599,0.945518453427065,0.9824150058616647,0.9835680751173709,0.9888475836431226,0.9925373134328358,0.9644171779141104,0.9874371859296482
model_34,96.79109364767517,0.9677218985178209,0.9687058959018591,0.9557021677662583,0.9883040935672515,0.9759450171821306,0.9551569506726457,0.996309963099631,0.9926470588235294,0.9658421672555948,0.9490740740740741
model_35,97.38048461034708,0.9738188469284845,0.9738749631709498,0.9655172413793104,0.9602888086642599,0.972972972972973,0.9764150943396226,0.996309963099631,0.9926470588235294,0.9783132530120482,0.9830508474576272
model_36,97.18402095612312,0.9718680449349919,0.9724925388961377,0.964221824686941,0.9456140350877194,0.9776733254994124,0.9811320754716981,0.996309963099631,0.9926470588235294,0.9680589680589681,0.9924433249370277
model_37,96.46365422396856,0.9646710940861568,0.9648559769482067,0.9548736462093863,0.9446428571428571,0.966903073286052,0.9761336515513126,0.996309963099631,0.9926470588235294,0.9650180940892642,0.970873786407767
model_38,97.11853307138179,0.9711326449521778,0.9712907678546043,0.9630314232902033,0.9756554307116105,0.9757225433526011,0.9634703196347032,0.9925925925925926,0.9925925925925926,0.970131421744325,0.9666666666666667
model_39,97.11853307138179,0.9710669238979575,0.9715075718910553,0.960820895522388,0.982824427480916,0.9781357882623706,0.9615384615384616,0.996309963099631,0.9926470588235294,0.9691211401425178,0.96
model_40,96.33267845448592,0.9633400969012327,0.9633804777184397,0.9517743403093721,0.9491833030852994,0.9705535924617197,0.976303317535545,0.996309963099631,0.9926470588235294,0.9604790419161676,0.9593301435406698
model_41,94.8264571054355,0.9483112069629056,0.9496590760241712,0.9302752293577982,0.9354243542435424,0.9576783555018138,0.99,0.996309963099631,0.9926470588235294,0.9468822170900693,0.9131403118040089
model_42,94.69548133595285,0.9469131846025115,0.9494783248053815,0.9303964757709251,0.899488926746167,0.9343246592317225,0.9921052631578947,0.996309963099631,0.9926470588235294,0.9655172413793104,0.9575471698113207
model_43,96.72560576293385,0.9672087461446588,0.9680284061395609,0.9533582089552238,0.9751908396946565,0.9800235017626322,0.9834905660377359,1.0,1.0,0.9616724738675958,0.9324324324324325
model_44,97.05304518664047,0.970509760867586,0.9705219928471203,0.9605866177818515,0.9650092081031307,0.9732246798603027,0.9675925925925926,1.0,1.0,0.9712230215827338,0.9712230215827338
model_45,96.79109364767517,0.9679569153550469,0.9681829093652773,0.956442831215971,0.9512635379061372,0.9750297265160524,0.9903381642512077,0.996309963099631,0.9926470588235294,0.9666666666666667,0.9598108747044918
model_46,96.2671905697446,0.9625416323357794,0.9630074837064166,0.9477611940298507,0.9694656488549618,0.9732246798603027,0.9675925925925926,0.996309963099631,0.9926470588235294,0.960093896713615,0.9402298850574713
model_47,97.64243614931237,0.9764337564576419,0.9764752860189347,0.9682107175295186,0.9638336347197106,0.9812206572769953,0.9835294117647059,0.996309963099631,0.9926470588235294,0.9759036144578314,0.9806295399515739
model_48,96.85658153241651,0.9685764926435673,0.9686188596929424,0.9591280653950953,0.9547920433996383,0.971764705882353,0.9763593380614657,0.996309963099631,0.9926470588235294,0.96875,0.9710843373493976
model_49,96.92206941715783,0.9691028674842382,0.9698821078799152,0.9587242026266416,0.9864864864864865,0.9756662804171495,0.9655963302752294,0.996309963099631,0.9926470588235294,0.9672131147540983,0.9450800915331807
model_50,96.85658153241651,0.9684965110381102,0.9686175516415739,0.9584487534626038,0.9700934579439252,0.9734104046242774,0.9611872146118722,0.996309963099631,0.9926470588235294,0.9676646706586827,0.9665071770334929
model_51,96.07072691552064,0.9605779420624158,0.9607551387670337,0.9463955637707948,0.9588014981273408,0.9701149425287356,0.9525959367945824,0.996309963099631,0.9926470588235294,0.9578820697954272,0.961352657004831
model_52,96.98755730189916,0.9698752382307695,0.969890077996914,0.9608735213830755,0.9582577132486388,0.9753810082063306,0.9765258215962441,0.996309963099631,0.9926470588235294,0.9675090252707581,0.9710144927536232
model_53,97.18402095612312,0.9718789280491499,0.9721834446577676,0.9640287769784173,0.950354609929078,0.9691211401425178,0.983132530120482,0.9925925925925926,0.9925925925925926,0.9783132530120482,0.9830508474576272
model_54,96.92206941715783,0.9692285717849318,0.9693095785938475,0.9619565217391305,0.9550359712230215,0.972972972972973,0.9764150943396226,0.996309963099631,0.9926470588235294,0.966183574879227,0.9732360097323601
model_55,96.85658153241651,0.968574729751766,0.9686386719918982,0.9591280653950953,0.9547920433996383,0.9742990654205608,0.972027972027972,0.9925925925925926,0.9925925925925926,0.9673518742442564,0.975609756097561
model_56,97.05304518664047,0.970507134155192,0.9705196071809553,0.9614678899082569,0.966789667896679,0.9743589743589743,0.9698375870069605,0.9925925925925926,0.9925925925925926,0.9712918660287081,0.9689737470167065
model_57,97.31499672560577,0.9731627008223095,0.9733341668107938,0.9637681159420289,0.9568345323741008,0.9778296382730455,0.9744186046511628,0.996309963099631,0.9926470588235294,0.9732360097323601,0.9876543209876543
model_58,96.85658153241651,0.9684839810900691,0.9689045332526088,0.9572490706319703,0.9753787878787878,0.9742388758782201,0.9742388758782201,0.996309963099631,0.9926470588235294,0.9683470105509965,0.9472477064220184
model_59,97.18402095612312,0.9717838130581772,0.9719917529681886,0.9611111111111111,0.9755639097744361,0.9825783972125436,0.9746543778801844,0.9962825278810409,1.0,0.966824644549763,0.955503512880562
model_60,97.31499672560577,0.9730988118330672,0.9732102107736018,0.9630996309963099,0.9738805970149254,0.9777777777777777,0.9766355140186916,0.996309963099631,0.9926470588235294,0.9739336492890995,0.9625292740046838
model_61,97.24950884086444,0.9724986126694292,0.9725604488662293,0.9662100456621004,0.9670932358318098,0.9732868757259001,0.9654377880184332,0.9962825278810409,1.0,0.9722557297949337,0.9781553398058253
model_62,96.33267845448592,0.9633375360702433,0.9636645743996888,0.9512635379061372,0.9410714285714286,0.9605734767025089,0.9804878048780488,0.996309963099631,0.9926470588235294,0.9713603818615751,0.9667458432304038
model_63,97.24950884086444,0.9725215136817119,0.972626567164417,0.9646418857660924,0.9585585585585585,0.9730994152046784,0.9719626168224299,0.9925925925925926,0.9925925925925926,0.9757869249394673,0.9853300733496333
model_64,97.44597249508841,0.9744224802721579,0.9744439352696674,0.9650735294117647,0.9722222222222222,0.9778296382730455,0.9744186046511628,0.996309963099631,0.9926470588235294,0.9761336515513126,0.9714964370546318
model_65,97.64243614931237,0.9764248121029037,0.9764829159046042,0.9680365296803652,0.9689213893967094,0.9811320754716981,0.9881235154394299,0.996309963099631,0.9926470588235294,0.9761904761904762,0.9692671394799054
model_66,97.44597249508841,0.974437054892566,0.9747842738024454,0.966728280961183,0.9794007490636704,0.9724770642201835,0.952808988764045,0.996309963099631,0.9926470588235294,0.9794933655006032,0.9854368932038835
model_67,96.98755730189916,0.9699242928589036,0.970251761658112,0.9598540145985401,0.9598540145985401,0.9785714285714285,0.9951573849878934,0.996309963099631,0.9926470588235294,0.9657615112160567,0.9511627906976744
model_68,97.05304518664047,0.9704485570082992,0.9709550068546885,0.9599254426840633,0.9809523809523809,0.9778296382730455,0.9744186046511628,0.996309963099631,0.9926470588235294,0.9683470105509965,0.9472477064220184
model_69,97.64243614931237,0.9763885378111096,0.9764879737279282,0.967741935483871,0.9776536312849162,0.9824561403508771,0.9813084112149533,0.996309963099631,0.9926470588235294,0.9750889679715302,0.9647887323943662
model_70,97.38048461034708,0.9737813701760317,0.9737987619759576,0.9643835616438357,0.9652650822669104,0.980209545983702,0.9745370370370371,0.996309963099631,0.9926470588235294,0.9722557297949337,0.9781553398058253
model_71,97.05304518664047,0.9704449033485546,0.9707051301971164,0.9591836734693877,0.9754716981132076,0.9754959159859977,0.9720930232558139,0.996309963099631,0.9926470588235294,0.9716981132075472,0.9559164733178654
model_72,97.31499672560577,0.9731296149828779,0.9731699292451005,0.9633699633699634,0.9669117647058824,0.9764705882352941,0.9810874704491725,0.996309963099631,0.9926470588235294,0.9750297265160524,0.9669811320754716
model_73,97.51146037982973,0.9750837905077279,0.9751038274880927,0.9669724770642202,0.9723247232472325,0.9790697674418605,0.9722863741339491,0.996309963099631,0.9926470588235294,0.9747899159663865,0.9759615384615384
model_74,96.98755730189916,0.9698109972900507,0.9705038616202029,0.957983193277311,0.9808795411089866,0.9824561403508771,0.9813084112149533,0.996309963099631,0.9926470588235294,0.9638273045507585,0.9386363636363636
model_75,96.72560576293385,0.9672815301639018,0.9674409594245642,0.9583333333333334,0.9514388489208633,0.970344009489917,0.9831730769230769,0.996309963099631,0.9926470588235294,0.9665071770334929,0.964200477326969
model_76,96.92206941715783,0.9692216168959752,0.9692912015505174,0.9579524680073126,0.9597069597069597,0.9764150943396226,0.9833729216152018,0.996309963099631,0.9926470588235294,0.9678953626634959,0.9599056603773585
model_77,96.72560576293385,0.9673131303605648,0.9677277683440777,0.9558955895589559,0.9431616341030196,0.9707602339181286,0.969626168224299,0.996309963099631,0.9926470588235294,0.9694002447980417,0.99
model_78,97.05304518664047,0.970540814093884,0.9706119531940635,0.9600725952813067,0.9548736462093863,0.9765807962529274,0.9765807962529274,0.996309963099631,0.9926470588235294,0.969770253929867,0.9780487804878049
model_79,96.98755730189916,0.9697525533374817,0.9701272766717083,0.9580615097856477,0.979047619047619,0.976905311778291,0.9635535307517085,0.996309963099631,0.9926470588235294,0.9691943127962085,0.9578454332552693
model_80,97.18402095612312,0.9718323561277925,0.9720327485883682,0.9619565217391305,0.9550359712230215,0.969047619047619,0.9854721549636803,0.996309963099631,0.9926470588235294,0.9797377830750894,0.9739336492890995
model_81,95.08840864440079,0.9508296077738415,0.9521224421172167,0.9318600368324125,0.9405204460966543,0.9577804583835947,0.9875621890547264,0.996309963099631,0.9926470588235294,0.9539170506912442,0.917960088691796
model_82,96.98755730189916,0.9698187418386734,0.9699462016169195,0.9611829944547134,0.9737827715355806,0.9685681024447031,0.9629629629629629,0.996309963099631,0.9926470588235294,0.9738717339667459,0.9647058823529412
model_83,97.31499672560577,0.9730756247751835,0.9732419652103346,0.9629629629629629,0.9774436090225563,0.9756662804171495,0.9655963302752294,0.996309963099631,0.9926470588235294,0.9761904761904762,0.9692671394799054
model_84,95.87426326129666,0.9588441844522027,0.9617472299580299,0.9477351916376306,0.9066666666666666,0.9714285714285714,0.9878934624697336,0.996309963099631,0.9926470588235294,0.9484276729559749,0.9973544973544973
model_85,97.51146037982973,0.9750335424896795,0.9752909964346502,0.9656453110492108,0.9829867674858223,0.9803012746234068,0.9701834862385321,0.996309963099631,0.9926470588235294,0.9750889679715302,0.9647887323943662
model_86,97.64243614931237,0.9763786079915096,0.9765027867240834,0.9676823638042474,0.9794392523364486,0.9824970828471412,0.9790697674418605,0.996309963099631,0.9926470588235294,0.9750889679715302,0.9647887323943662
model_87,96.98755730189916,0.9699089538080822,0.9700877823205337,0.9599271402550091,0.9581818181818181,0.9774614472123369,0.9903846153846154,0.996309963099631,0.9926470588235294,0.9667458432304038,0.9576470588235294
model_88,97.70792403405369,0.977040444973498,0.9771120095178618,0.9686924493554327,0.9776951672862454,0.9801169590643275,0.9789719626168224,0.996309963099631,0.9926470588235294,0.9786223277909739,0.9694117647058823
model_89,97.05304518664047,0.9706291732076868,0.9713368508780531,0.9616413916146298,0.9406631762652705,0.9704142011834319,0.9808612440191388,0.9925925925925926,0.9925925925925926,0.9755501222493888,0.9950124688279302
model_90,97.05304518664047,0.9704771153929037,0.9709319278446977,0.9613970588235294,0.9685185185185186,0.9737142857142858,0.9508928571428571,0.996309963099631,0.9926470588235294,0.9707317073170731,0.9875930521091811
model_91,97.38048461034708,0.9738331726322604,0.9740346452007854,0.9666366095581606,0.9554367201426025,0.9728453364817001,0.9809523809523809,0.996309963099631,0.9926470588235294,0.9770253929866989,0.9853658536585366
model_92,97.57694826457104,0.975743573455801,0.9757539905499834,0.9669724770642202,0.9723247232472325,0.9801169590643275,0.9789719626168224,0.996309963099631,0.9926470588235294,0.9761336515513126,0.9714964370546318
model_93,97.38048461034708,0.9737472297097552,0.9739371101192025,0.9648148148148148,0.9793233082706767,0.980209545983702,0.9745370370370371,0.996309963099631,0.9926470588235294,0.9715639810426541,0.9601873536299765
model_94,96.98755730189916,0.9699600565325772,0.9707020410566113,0.9607843137254902,0.9390243902439024,0.9726516052318668,0.9879227053140096,0.996309963099631,0.9926470588235294,0.9707317073170731,0.9875930521091811
model_95,97.64243614931237,0.9764117371838568,0.9764281880454854,0.968094804010939,0.9672131147540983,0.9824970828471412,0.9790697674418605,0.996309963099631,0.9926470588235294,0.9746682750301568,0.9805825242718447
model_96,97.24950884086444,0.9725336072479526,0.9728208435953078,0.9630297565374211,0.9518716577540107,0.9738095238095238,0.9903147699757869,0.996309963099631,0.9926470588235294,0.9760191846522782,0.9760191846522782
