Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_0,91.74852652259332,0.9173168135949329,0.9308808475928287,0.8767676767676768,0.9819004524886877,0.9776733254994124,0.9811320754716981,0.996309963099631,0.9926470588235294,0.8832271762208068,0.7923809523809524
model_1,94.04060248853962,0.9402469557804599,0.9468918168586481,0.9119373776908023,0.9831223628691983,0.9789227166276346,0.9789227166276346,1.0,1.0,0.9185022026431718,0.8492871690427699
model_2,95.80877537655533,0.957885355858961,0.9614934616028646,0.9383429672447013,0.9938775510204082,0.9837587006960556,0.9747126436781609,1.0,1.0,0.9434389140271493,0.892933618843683
model_3,97.11853307138179,0.9711759536789006,0.9715879617194875,0.9594843462246777,0.9684014869888475,0.9702517162471396,0.9485458612975392,1.0,1.0,0.9781553398058253,0.9901719901719902
model_4,96.98755730189916,0.9697973012182788,0.969882744429269,0.9586776859504132,0.9648798521256932,0.9792147806004619,0.9658314350797267,0.996309963099631,0.9926470588235294,0.966183574879227,0.9732360097323601
model_5,91.81401440733464,0.9180648639860197,0.9303430779495168,0.880641925777332,0.977728285077951,0.9716981132075472,0.9786223277909739,0.996309963099631,0.9926470588235294,0.8869936034115139,0.7984644913627639
model_6,98.03536345776031,0.9803787824955611,0.9807677069102728,0.9730700179533214,0.9575971731448764,0.9749702026221693,0.9927184466019418,1.0,1.0,0.9891696750902527,0.9927536231884058
model_7,97.70792403405369,0.9770879401123851,0.9775153024335014,0.9693693693693693,0.9572953736654805,0.9825378346915018,0.9768518518518519,1.0,1.0,0.9742331288343559,0.9974874371859297
model_8,97.51146037982973,0.9751038574959484,0.9753788805107644,0.966576332429991,0.9570661896243292,0.9836829836829837,0.9791183294663574,0.996309963099631,0.9926470588235294,0.9706601466992665,0.9900249376558603
model_9,96.66011787819254,0.9664469500030468,0.9683678797955145,0.9515669515669516,0.9920792079207921,0.9825783972125436,0.9746543778801844,1.0,1.0,0.9586206896551724,0.9205298013245033
model_10,97.05304518664047,0.9705387473448632,0.9705559774970616,0.9608735213830755,0.9582577132486388,0.9800703399765534,0.9812206572769953,1.0,1.0,0.9639423076923077,0.9662650602409638
model_11,96.2671905697446,0.9625396685342963,0.9628163001268997,0.9485294117647058,0.9555555555555556,0.9736540664375716,0.952914798206278,0.996309963099631,0.9926470588235294,0.9586374695863747,0.9728395061728395
