Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_0,94.69548133595285,0.9465457007068372,0.952491586515803,0.9215686274509803,0.9957627118644068,0.9792626728110599,0.963718820861678,0.9962825278810409,1.0,0.9297658862876255,0.86875
model_1,97.24950884086444,0.972421641108153,0.9726652457595508,0.961038961038961,0.9773584905660377,0.9664739884393063,0.954337899543379,1.0,1.0,0.9845422116527943,0.9764150943396226
model_2,97.31499672560577,0.9731947349525182,0.9736979762451095,0.96415770609319,0.9471830985915493,0.9800235017626322,0.9834905660377359,1.0,1.0,0.9694002447980417,0.99
model_3,96.39816633922725,0.964084479929526,0.9650722736439398,0.9538188277087034,0.9290657439446367,0.9667458432304038,0.980722891566265,0.996309963099631,0.9926470588235294,0.9644171779141104,0.9874371859296482
model_4,98.16633922724296,0.9816591273957869,0.9816834100392059,0.9744990892531876,0.9727272727272728,0.9871645274212368,0.9837209302325581,1.0,1.0,0.9794933655006032,0.9854368932038835
model_5,98.2973149967256,0.9829407519412754,0.9830500851003713,0.9760147601476015,0.9869402985074627,0.9871944121071012,0.9814814814814815,1.0,1.0,0.9821640903686087,0.9740566037735849
model_6,98.16633922724296,0.9816142176680016,0.9818155531328233,0.9740740740740741,0.9887218045112782,0.9826187717265353,0.9724770642201835,1.0,1.0,0.9845422116527943,0.9764150943396226
model_7,96.85658153241651,0.9684986448417247,0.9698149600812769,0.9548872180451128,0.9844961240310077,0.9824150058616647,0.9835680751173709,1.0,1.0,0.9619377162629758,0.9266666666666666
model_8,98.42829076620825,0.9842785461645972,0.9842955324249044,0.978021978021978,0.9816176470588235,0.9813519813519813,0.9767981438515081,1.0,1.0,0.9904076738609112,0.9904076738609112
model_9,98.23182711198429,0.9823331347860342,0.9823664977333205,0.9754322111010009,0.9727767695099818,0.9801169590643275,0.9789719626168224,1.0,1.0,0.9879518072289156,0.9927360774818402
model_10,98.16633922724296,0.9816271929791557,0.9818390510790332,0.9750692520775623,0.9869158878504672,0.9824150058616647,0.9835680751173709,1.0,1.0,0.9834905660377359,0.9675174013921114
model_11,96.85658153241651,0.9686730504556741,0.9700856694868825,0.9575971731448764,0.928082191780822,0.961352657004831,0.9925187032418953,1.0,1.0,0.9805825242718447,0.9926289926289926
model_12,96.79109364767517,0.9677460756791246,0.9694780794590466,0.9544592030360531,0.9940711462450593,0.9627959413754228,0.9282608695652174,1.0,1.0,0.9798339264531435,0.9694835680751174
model_13,97.31499672560577,0.973102679545271,0.9734427886325396,0.9657089898053753,0.9811676082862524,0.9753810082063306,0.9765258215962441,0.996309963099631,0.9926470588235294,0.972972972972973,0.9539170506912442
model_14,98.49377865094957,0.984944846989549,0.9850407715172036,0.9798534798534798,0.9834558823529411,0.9826187717265353,0.9724770642201835,1.0,1.0,0.9891435464414958,0.9951456310679612
model_15,97.83889980353635,0.9784517411642564,0.9790243574594271,0.9705093833780161,0.9509632224168126,0.9738095238095238,0.9903147699757869,1.0,1.0,0.9866666666666667,0.9975490196078431
model_16,97.969875573019,0.9797218346391633,0.9798398305245641,0.971894832275612,0.9657657657657658,0.9813084112149533,0.9790209790209791,1.0,1.0,0.9818181818181818,0.9926470588235294
model_17,98.10085134250164,0.9809935839015527,0.9810119472843298,0.9734188817598534,0.9779005524861878,0.9825378346915018,0.9768518518518519,1.0,1.0,0.9832134292565947,0.9832134292565947
model_18,97.969875573019,0.9796999538983626,0.9797209058385891,0.9717411121239745,0.970856102003643,0.9824970828471412,0.9790697674418605,1.0,1.0,0.980722891566265,0.9854721549636803
model_19,97.31499672560577,0.9730676798220825,0.9732973946017791,0.9628942486085343,0.9792452830188679,0.9767441860465116,0.9699769053117783,0.996309963099631,0.9926470588235294,0.9751479289940829,0.9626168224299065
model_20,98.5592665356909,0.985595658316406,0.985600183399033,0.9799270072992701,0.9799270072992701,0.9824561403508771,0.9813084112149533,1.0,1.0,0.9915966386554622,0.9927884615384616
model_21,98.23182711198429,0.9823286576997071,0.98237148225917,0.9772933696639419,0.972875226039783,0.9765258215962441,0.9788235294117648,0.996309963099631,0.9926470588235294,0.9903614457831326,0.9951573849878934
model_22,98.42829076620825,0.9842619794804348,0.9844733719566483,0.977859778597786,0.9888059701492538,0.9838709677419355,0.9682539682539683,1.0,1.0,0.9879807692307693,0.9903614457831326
model_23,97.64243614931237,0.976427164612856,0.9774520175306031,0.9662921348314607,0.9923076923076923,0.9659863945578231,0.9362637362637363,1.0,1.0,0.9928057553956835,0.9928057553956835
model_24,98.75573018991487,0.9875596318331898,0.9875800145989385,0.9826166514181153,0.9853211009174312,0.9836829836829837,0.9791183294663574,1.0,1.0,0.9939975990396158,0.9951923076923077
model_25,96.07072691552064,0.9604923070293192,0.9624158313667758,0.9447619047619048,0.9880478087649402,0.9803921568627451,0.9659090909090909,0.996309963099631,0.9926470588235294,0.9491916859122402,0.9153674832962138
model_26,98.23182711198429,0.9823339460733329,0.9823741187111086,0.9754768392370572,0.9710669077757685,0.9788732394366197,0.9811764705882353,1.0,1.0,0.9891696750902527,0.9927536231884058
model_27,97.969875573019,0.9796665114460205,0.9797298664405201,0.9723756906077348,0.9814126394052045,0.9848308051341891,0.9813953488372092,0.996309963099631,0.9926470588235294,0.9785714285714285,0.9716312056737588
model_28,98.5592665356909,0.9855835207885637,0.9856037152390751,0.9798534798534798,0.9834558823529411,0.9871043376318874,0.9882629107981221,1.0,1.0,0.9868891537544696,0.981042654028436
model_29,97.90438768827767,0.9790159188988083,0.9790605765066087,0.9706422018348624,0.9760147601476015,0.9788732394366197,0.9811764705882353,1.0,1.0,0.9833729216152018,0.9741176470588235
model_30,97.18402095612312,0.9717700157986191,0.9724320036914662,0.9599254426840633,0.9809523809523809,0.9800703399765534,0.9812206572769953,1.0,1.0,0.9696969696969697,0.9433106575963719
model_31,95.93975114603799,0.959437055235478,0.9601082303150932,0.9443938012762079,0.9435336976320583,0.9651860744297719,0.9901477832512315,1.0,1.0,0.9601873536299765,0.9382151029748284
model_32,98.69024230517354,0.9869147982078272,0.986961967329216,0.9818511796733213,0.9765342960288809,0.9847238542890717,0.9882075471698113,1.0,1.0,0.9915764139590855,0.9951690821256038
model_33,97.90438768827767,0.979042089419374,0.9791498897169183,0.9709618874773139,0.9657039711191335,0.976303317535545,0.988009592326139,1.0,1.0,0.9856801909307876,0.9809976247030879
model_34,96.66011787819254,0.9666591680677467,0.9681035332449935,0.9549071618037135,0.9262435677530018,0.9563106796116505,0.9924433249370277,1.0,1.0,0.9819059107358263,0.9878640776699029
model_35,97.05304518664047,0.9703238828422405,0.9716710322944779,0.9583333333333334,0.9960629921259843,0.9714937286202965,0.9466666666666667,0.996309963099631,0.9926470588235294,0.9764705882352941,0.9584295612009238
model_36,98.49377865094957,0.9849433385436398,0.984960971212039,0.9790718835304822,0.9764065335753176,0.9847238542890717,0.9882075471698113,1.0,1.0,0.988009592326139,0.988009592326139
model_37,97.57694826457104,0.9756959645598426,0.9759439143925175,0.9657089898053753,0.9811676082862524,0.9792626728110599,0.963718820861678,1.0,1.0,0.977299880525687,0.9738095238095238
model_38,97.70792403405369,0.9770567640323397,0.9772027625917536,0.9688073394495413,0.974169741697417,0.9799291617473436,0.9880952380952381,0.996309963099631,0.9926470588235294,0.9787234042553191,0.965034965034965
model_39,98.49377865094957,0.984944989720483,0.9850180239178274,0.9791477787851315,0.972972972972973,0.9822904368358913,0.9904761904761905,1.0,1.0,0.9904076738609112,0.9904076738609112
model_40,98.16633922724296,0.9816228865334998,0.9819885002065057,0.9758364312267658,0.9943181818181818,0.9792626728110599,0.963718820861678,0.996309963099631,0.9926470588235294,0.9868891537544696,0.981042654028436
model_41,98.36280288146693,0.9836003182861418,0.9836978009932801,0.9788018433179724,0.9888268156424581,0.9860788863109049,0.9770114942528736,0.996309963099631,0.9926470588235294,0.9832535885167464,0.9809069212410502
model_42,85.6581532416503,0.8593579434752932,0.8901933674232096,0.8565697091273822,0.9510022271714922,0.865359477124183,0.9792899408284024,0.9926470588235294,0.9854014598540146,0.8137254901960784,0.6882255389718076
model_43,98.49377865094957,0.9849262053794036,0.9850348028689833,0.9797421731123389,0.9888475836431226,0.9826187717265353,0.9724770642201835,1.0,1.0,0.9892215568862276,0.9880382775119617
model_44,98.42829076620825,0.9842747762735657,0.9842912140942721,0.9798534798534798,0.9834558823529411,0.9836829836829837,0.9791183294663574,0.996309963099631,0.9926470588235294,0.9867947178871549,0.9879807692307693
model_45,97.38048461034708,0.9737811343999054,0.9738847900501073,0.9641214351425943,0.9721706864564007,0.9812206572769953,0.9835294117647059,0.996309963099631,0.9926470588235294,0.9715639810426541,0.9601873536299765
model_46,96.92206941715783,0.9692349073150548,0.9703241187230712,0.9582222222222222,0.9341421143847487,0.9588377723970944,0.9924812030075187,1.0,1.0,0.9843937575030012,0.9855769230769231
model_47,98.03536345776031,0.9803862982020349,0.9806494412217639,0.9738973897389739,0.9609236234458259,0.9775147928994082,0.9880382775119617,0.996309963099631,0.9926470588235294,0.9866989117291415,0.9951219512195122
model_48,98.62475442043221,0.9862435717289956,0.9862516520426226,0.9807868252516011,0.9834862385321101,0.9848308051341891,0.9813953488372092,1.0,1.0,0.9904076738609112,0.9904076738609112
model_49,98.10085134250164,0.981001440992703,0.9810063756724315,0.9752973467520586,0.9779816513761468,0.9824970828471412,0.9790697674418605,1.0,1.0,0.9808153477218226,0.9808153477218226
model_50,97.90438768827767,0.97899710443205,0.9791072606936599,0.971375807940905,0.983177570093458,0.9790697674418605,0.9722863741339491,0.996309963099631,0.9926470588235294,0.9833333333333333,0.9763593380614657
model_51,98.16633922724296,0.9816315934453922,0.9817030771394525,0.9742173112338858,0.983271375464684,0.9824970828471412,0.9790697674418605,1.0,1.0,0.9845422116527943,0.9764150943396226
model_52,98.2973149967256,0.9829508200053599,0.9829922172175803,0.9761029411764706,0.9833333333333333,0.9848308051341891,0.9813953488372092,1.0,1.0,0.9845053635280095,0.9786729857819905
model_53,98.23182711198429,0.9823026386468808,0.982302644560417,0.9761904761904762,0.9797794117647058,0.9801169590643275,0.9789719626168224,0.996309963099631,0.9926470588235294,0.9880382775119617,0.9856801909307876
model_54,98.03536345776031,0.980314093003265,0.9804154618401097,0.9723247232472325,0.9832089552238806,0.9825783972125436,0.9746543778801844,1.0,1.0,0.9821215733015495,0.976303317535545
model_55,97.90438768827767,0.9789817522792112,0.9792613467566006,0.9712163416898792,0.9886578449905482,0.988399071925754,0.9793103448275862,0.996309963099631,0.9926470588235294,0.9739336492890995,0.9625292740046838
model_56,98.23182711198429,0.982322792487896,0.9823286742148865,0.97538742023701,0.9744990892531876,0.9789227166276346,0.9789227166276346,1.0,1.0,0.9891956782713085,0.9903846153846154
model_57,98.10085134250164,0.981034712721407,0.9811715002678734,0.9746835443037974,0.9659498207885304,0.9812206572769953,0.9835294117647059,1.0,1.0,0.9830508474576272,0.9926650366748166
model_58,98.16633922724296,0.9816987360375588,0.9819840280669894,0.9748201438848921,0.9609929078014184,0.976303317535545,0.988009592326139,1.0,1.0,0.9903381642512077,0.9975669099756691
